INS_BEFORE_WPNAV_US,INS_AFTER_WPNAV_US,INS_UPDATED_DURING_WPNAV,STATE_AGE_AT_WPNAV_US,WPNAV_ELAPSED_WALL_US,SIM_TIME_US,WALL_TIME_US,CONTROL_DT_SIM_US,CONTROL_DT_WALL_US,CONTROL_OVERRUN_SIM_US,CONTROL_OVERRUN_WALL_US,INS_UPDATE_US,INS_DT_US,PRODUCER_SIM_US,PRODUCER_WALL_US,AGE_SIM_US,AGE_WALL_US,NAV_INDEX,WP_DISTANCE_CM,REF_VEL_N,SIM_VEL_N,REF_VEL_E,SIM_VEL_E
74000388,74000388,0,0,7,74000388,9483300821,2499,3813,0,1313,74000388,2499,74000388,9483300237,0,584,0,4,0.000,-3.133,0.000,4.015
74002887,74002887,0,0,6,74002887,9483304235,2499,3414,0,914,74002887,2499,74002887,9483303646,0,589,0,4,0.000,-3.137,0.000,4.019
74005386,74005386,0,833,7,74005386,9483309146,2499,4911,0,2411,74005386,2499,74005386,9483307958,0,1188,0,4,0.000,-3.119,0.000,3.998
74008718,74008718,0,0,7,74008718,9483313444,3332,4298,832,1798,74008718,3332,74007885,9483312329,833,1115,0,4,0.000,-3.123,0.000,4.003
74010384,74010384,0,0,6,74010384,9483317510,1666,4066,0,1566,74010384,1666,74010384,9483316493,0,1017,0,4,0.000,-3.127,0.000,4.009
74012883,74012883,0,0,7,74012883,9483321081,2499,3571,0,1071,74012883,2499,74012883,9483320483,0,598,0,4,0.000,-3.129,0.000,4.015
74015382,74015382,0,0,8,74015382,9483324567,2499,3486,0,986,74015382,2499,74015382,9483324095,0,472,0,4,0.000,-3.114,0.000,3.996
74017881,74017881,0,833,11,74017881,9483329859,2499,5292,0,2792,74017881,2499,74017881,9483328416,0,1443,0,4,0.000,-3.117,0.000,4.001
74020380,74020380,0,0,8,74020380,9483332892,2499,3033,0,533,74020380,2499,74020380,9483332501,0,391,0,4,0.000,-3.123,0.000,4.006
74023712,74023712,0,0,12,74023712,9483338138,3332,5246,832,2746,74023712,3332,74022879,9483336820,833,1318,0,4,0.000,-3.127,0.000,4.014
74025378,74025378,0,0,9,74025378,9483341590,1666,3452,0,952,74025378,1666,74025378,9483340860,0,730,0,4,0.000,-3.111,0.000,3.993
74027877,74027877,0,0,9,74027877,9483345699,2499,4109,0,1609,74027877,2499,74027877,9483345319,0,380,0,4,0.000,-3.114,0.000,3.998
74030376,74030376,0,833,8,74030376,9483351572,2499,5873,0,3373,74030376,2499,74030376,9483350455,0,1117,0,4,0.000,-3.120,0.000,4.003
74032875,74032875,0,833,12,74032875,9483356209,2499,4637,0,2137,74032875,2499,74032875,9483355120,0,1089,0,4,0.000,-3.123,0.000,4.009
74035374,74035374,0,0,11,74035374,9483358794,2499,2585,0,85,74035374,2499,74035374,9483358779,0,15,0,4,0.000,-3.110,0.000,3.993
74038706,74038706,0,0,8,74038706,9483366127,3332,7333,832,4833,74038706,3332,74038706,9483364526,0,1601,0,4,0.000,-3.115,0.000,4.001
74041205,74041205,0,833,5,74041205,9483370682,2499,4555,0,2055,74041205,2499,74041205,9483369231,0,1451,0,4,0.000,-3.120,0.000,4.007
74043704,74043704,0,0,5,74043704,9483373363,2499,2681,0,181,74043704,2499,74042871,9483372254,833,1109,0,4,0.000,-3.124,0.000,4.013
74047036,74047036,0,833,7,74047036,9483380487,3332,7124,832,4624,74047036,3332,74047036,9483379057,0,1430,0,4,0.000,-3.112,0.000,4.001
74049535,74049535,0,833,6,74049535,9483384505,2499,4018,0,1518,74049535,2499,74049535,9483383411,0,1094,0,4,0.000,-3.115,0.000,4.004
74052034,74052034,0,0,7,74052034,9483389475,2499,4970,0,2470,74052034,2499,74052034,9483388030,0,1445,0,4,0.000,-3.121,0.000,4.013
74054533,74054533,0,833,8,74054533,9483393702,2499,4227,0,1727,74054533,2499,74054533,9483392605,0,1097,0,4,0.000,-3.124,0.000,4.018
74057032,74057032,0,0,7,74057032,9483398028,2499,4326,0,1826,74057032,2499,74057032,9483396510,0,1518,0,4,0.000,-3.113,0.000,4.001
