INS_BEFORE_WPNAV_US,INS_AFTER_WPNAV_US,INS_UPDATED_DURING_WPNAV,STATE_AGE_AT_WPNAV_US,WPNAV_ELAPSED_WALL_US,SIM_TIME_US,WALL_TIME_US,CONTROL_DT_SIM_US,CONTROL_DT_WALL_US,CONTROL_OVERRUN_SIM_US,CONTROL_OVERRUN_WALL_US,INS_UPDATE_US,INS_DT_US,PRODUCER_SIM_US,PRODUCER_WALL_US,AGE_SIM_US,AGE_WALL_US,NAV_INDEX,WP_DISTANCE_CM,REF_VEL_N,SIM_VEL_N,REF_VEL_E,SIM_VEL_E
94105676,94105676,0,0,4,94105676,7558336616,2499,94,0,0,94105676,2499,0,0,0,0,3,5724,97.879,72.981,293.368,362.030
94108175,94108175,0,0,3,94108175,7558336745,2499,129,0,0,94108175,2499,0,0,0,0,3,5724,98.042,73.091,292.967,361.673
94110674,94110674,0,0,4,94110674,7558336846,2499,101,0,0,94110674,2499,0,0,0,0,3,5724,98.218,73.131,292.686,361.426
94113173,94113173,0,0,3,94113173,7558336947,2499,101,0,0,94113173,2499,0,0,0,0,3,5724,98.381,73.200,292.285,361.095
94115672,94115672,0,0,5,94115672,7558337151,2499,204,0,0,94115672,2499,0,0,0,0,3,5723,98.552,73.245,291.968,360.933
94118171,94118171,0,0,3,94118171,7558337278,2499,127,0,0,94118171,2499,0,0,0,0,3,5723,98.716,73.373,291.566,360.561
94120670,94120670,0,0,3,94120670,7558337368,2499,90,0,0,94120670,2499,0,0,0,0,3,5723,98.893,73.444,291.285,360.305
94123169,94123169,0,0,3,94123169,7558337468,2499,100,0,0,94123169,2499,0,0,0,0,3,5723,99.057,73.592,290.883,359.897
94125668,94125668,0,0,4,94125668,7558337566,2499,98,0,0,94125668,2499,0,0,0,0,3,5723,99.229,73.727,290.567,359.717
94128167,94128167,0,0,3,94128167,7558337699,2499,133,0,0,94128167,2499,0,0,0,0,3,5722,99.394,73.861,290.164,359.354
94130666,94130666,0,0,18,94130666,7558369651,2499,31952,0,29452,94130666,2499,0,0,0,0,3,5722,99.572,73.940,289.882,359.113
94133165,94133165,0,0,4,94133165,7558369840,2499,189,0,0,94133165,2499,0,0,0,0,3,5722,99.737,74.048,289.478,358.793
94135664,94135664,0,0,3,94135664,7558369935,2499,95,0,0,94135664,2499,0,0,0,0,3,5722,99.911,74.127,289.162,358.591
94138163,94138163,0,0,11,94138163,7558370507,2499,572,0,0,94138163,2499,0,0,0,0,3,5722,100.077,74.281,288.758,358.182
94140662,94140662,0,0,4,94140662,7558370635,2499,128,0,0,94140662,2499,0,0,0,0,3,5722,100.255,74.393,288.476,357.935
94143161,94143161,0,0,3,94143161,7558370737,2499,102,0,0,94143161,2499,0,0,0,0,3,5721,100.421,74.580,288.071,357.596
94145660,94145660,0,0,5,94145660,7558370829,2499,92,0,0,94145660,2499,0,0,0,0,3,5721,100.597,74.711,287.755,357.448
